sentence_id,category,transcript
1,connected_speech,"If you’re gonna come over, lemme know ‘cause I’ll hafta tidy up a bit first."
2,connected_speech,"Yeah, I’d’ve gone to the party, but I was sorta tired and didn’t wanna drive all that way."
3,connected_speech,"We shoulda left earlier 'cause now we’re gonna be late, aren’t we?"
4,connected_speech,"I’d’ve called you earlier, but I kinda got caught up in something else."
5,connected_speech,"We should’ve seen it comin’, but nobody said anything ’til it was too late."
6,connected_speech,"I’m tryna figure out whatcha mean, but it’s sorta tricky, isn’t it?"
7,connected_speech,"I would've grabbed some food, but I didn’t have enough time, y’see?"
8,connected_speech,"We should’ve planned ahead, but we were just too caught up in the moment, y’know?"
9,connected_speech,"I'll meetcha at the cafe around five-ish, if that's cool with you."
10,connected_speech,"I'mma head out 'cause it's gettin' pretty late, don'tcha think?"
11,connected_speech,"You shoulda seen how they were actin’, it was sorta unbelievable."
12,connected_speech,"If you’re gonna head out later, lemme know so we can meet up."
13,connected_speech,"Y’know, I’d’ve called you if I coulda found my phone, but it was lost in all that mess."
14,connected_speech,"I shoulda known she wasn’t comin’, but I guess I just didn’t wanna see it."
15,connected_speech,"I would've thought they’d be here by now, but I guess it’s not happenin', is it?"
16,connected_speech,"If you wanna catch the bus, ya better hurry 'cause it's leavin' soon."
17,connected_speech,"I shoulda called you earlier, but I was runnin' late and didn’t wanna rush the convo."
18,connected_speech,"I should’ve called you earlier, but I didn’t have enough time, y’see?"
19,connected_speech,"If you're gonna grab a coffee, could ya get me one too?"
20,connected_speech,"I should’ve known she wasn’t really into it, but ya never know, right?"
21,connected_speech,"We shoulda gone with 'em, but it just sorta slipped my mind, y'know?"
22,connected_speech,"Could’ve sworn I saw ‘em at the café yesterday, but maybe I’m just misrememberin’."
23,connected_speech,"I dunno if he’s comin’ to the party or not, but I’ll letcha know soon as I can."
24,connected_speech,"If you wanna grab a bite later, lemme know cuz I'm free after six."
25,connected_speech,"You shoulda called her, but I get it’s been a busy week, right?"
26,connected_speech,"I dunno if you’ve seen it yet, but it’s supposed to be really good."
27,connected_speech,"If you'd asked me earlier, I might've been able to help ya out."
28,connected_speech,Couldja gimme a sec? I hafta finish up this email 'fore we head out.
29,connected_speech,"I’d’ve called you earlier, but I couldn’t find my phone, y’know what I mean?"
30,connected_speech,"If you’re thinkin’ ’bout goin’ out tonight, lemme know ‘cause I might tag along."
31,connected_speech,"I dunno what you wanna do, but we’re kinda running outta time, aren’t we?"
32,connected_speech,"If you wanna grab some coffee later, lemme know ‘cause I’m totally free."
33,connected_speech,Y’all wanna grab some food or somethin’ before it gets too late?
34,connected_speech,"If you’re gonna be there, lemme know ’cause I dunno if I can make it on time."
35,connected_speech,"If you’re not busy, we could grab a coffee or somethin’, don’tcha think?"
36,connected_speech,"We should’ve asked if it’s gonna rain tomorrow, but I guess we’ll find out."
37,connected_speech,"If you’re gonna be around later, lemme know and we’ll figure somethin’ out."
38,connected_speech,"If you're really thinkin' about it, you might wanna ask him 'cause he’ll probably know what’s up."
39,connected_speech,You wanna grab some coffee or somethin' before we head out?
40,connected_speech,"I dunno if you’re gonna make it on time, but I’d’ve called if I were you."
41,connected_speech,"I should’ve called him earlier, but I just couldn’t find the time, y’know?"
42,connected_speech,Whatcha doin' later? I thought we could grab some coffee or somethin'.
43,connected_speech,"We shoulda met up earlier, but I didn’t realize it was gonna be this late."
44,connected_speech,"I'm thinkin' we shoulda left earlier, but it’ll prob’ly be fine, right?"
45,connected_speech,"I’d’ve thought you’d already seen it, but I guess ya haven’t had the time, right?"
46,connected_speech,"I should’ve called him earlier, but I kinda lost track of time, y’know?"
47,connected_speech,"If you wanna grab a coffee, we could meet up later, 'round five-ish?"
48,connected_speech,"I’d’ve been there, but I sorta lost track of time, y’know?"
49,connected_speech,"I'm gonna grab a bite 'fore we head out, you wanna come along?"
50,connected_speech,"I dunno if it’s true, but I kinda heard you’re gonna move next month, right?"
51,connected_speech,"I’d’ve called you earlier, but I was stuck in traffic and couldn’t get a hold of my phone."
52,connected_speech,"I’d’ve thought you’d wanna come, but it’s up to you."
53,connected_speech,"I dunno what we're gonna do 'bout it, but we'll figure somethin' out."
54,connected_speech,"I would've called you earlier, but I didn’t have your number on me, so..."
55,connected_speech,"So, whatcha wanna do about dinner? We could grab somethin’ quick if ya don’t feel like cookin’."
56,connected_speech,"Do you wanna grab some coffee later, or’re you busy?"
57,connected_speech,Whatcha thinkin' 'bout dinner? We could grab somethin’ quick if you’re up for it.
58,connected_speech,"You’ve gotta admit, it’s sorta unbelievable how fast the time goes by, huh?"
59,connected_speech,"I’m thinkin’ I’ll just grab some coffee, ’cause it’s too early t’deal with all that."
60,connected_speech,"I’d’ve called earlier, but I didn’t think it was that urgent, y’see?"
61,connected_speech,"We should’ve gone earlier, but it kinda slipped my mind, y’know?"
62,connected_speech,"I dunno if you’ve heard, but we’re meetin' up later, aren’t we?"
63,connected_speech,Whatcha gonna do ’bout it if they don’t wanna come along?
64,connected_speech,"I'm pretty sure she's gonna pick it up later, isn’t she?"
65,connected_speech,"I shoulda called earlier, but I didn’t get a chance, ya see?"
66,connected_speech,"We should’ve just asked him, 'cause I dunno if he’s comin’ or not."
67,connected_speech,"I’d’ve called ya earlier, but I couldn’t get a hold of you, y’know?"
68,connected_speech,"If you'd’ve seen it, you’d know what I’m talkin’ about—it was pretty amazin’, honestly."
69,connected_speech,"You wanna grab a coffee or something later, if you’re not too busy?"
70,connected_speech,"I shoulda called him earlier, but I didn’t have the time, y’know?"
71,connected_speech,"I dunno if I can make it to the party, but I’ll try’n stop by later, alright?"
72,connected_speech,"We shoulda planned ahead ‘cause now we’re gonna be late, aren’t we?"
73,connected_speech,"I shoulda called her earlier, but I was runnin' late and couldn’t find my phone."
74,connected_speech,Whatcha gonna do when ya don’t even have the time to figure it all out?
